breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
American Leopard Hound,the american leopard hound is a medium to large size dog and comes in three patterns solid leopard and brindle nine different official colors and a variety of markings however sixty percent of all american leopards are solidcolored dogs the breed is very versatile in hunting a variety of game species including but not limited to raccoon bear bobcat cougar squirrel and any other treeminded game as an especially tough breed they also fare exceptionally well in extreme weather both hot and cold the american leopard was officially organized and named the american leopard cur in 1960 but changed by the breed club members to the american leopard hound on may 1 2008 years before coming to the american kennel club breed contactname jackie carpenteremail plottdogyahoocom intelligence is one of the american leopard hounds very best attributes the breed is loving and affectionate toward their family and they are extremely protective of children american leopards are one of the oldest tree dog breeds in the us and have extremely strong tracking abilities often able to track prey for miles,sociable energetic intelligent,,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
American Staffordshire Terrier,amstaffs are stocky muscular bulltype terriers standing 17 to 19 inches at the shoulder the head is broad the jaws well defined the cheekbones pronounced and the dark round eyes are set wide apart amstaff movement is agile and graceful with a springy gait that advertises the breeds innate confidence the stiff glossy coat comes in many colors and patterns amstaffers describe their dogs as keenly aware of their surroundings game for anything and lovable personality dogs around the house amstaffs like mental and physical challenges they are highly trainable as their many forays into showbiz suggest when acquiring an amstaff theres only one way to go do your homework and find a responsible akc breeder the american staffordshire terrier known to their fans as amstaffs are smart confident goodnatured companions their courage is proverbial a responsibly bred wellsocialized amstaff is a loyal trustworthy friend to the end,confident smart goodnatured,85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
American Water Spaniel,american water spaniels are muscular midsize gundogs not flashy in looks or performance and recognizable by a luscious brown coat that is either tightly curled or wavy bred to work the icy waters and marshy banks of the great lakes region these spaniels are ideally outfitted for the job the coat is dense and waterproof the feet are thickly padded the toes are webbed and the body is small enough for the dog to hop in and out of a skiff without rocking the boat the breeds admirers describe a merry intelligent and versatile spaniel suited to a variety of dog sports as hunters they combine the working traits of spaniels and retrievers the key to the american water spaniels happiness is activity especially alongside their adored human an underemployed dog can be barky and destructive the american water spaniel native to the lake country of the upper midwest is an upbeat outdoorsy athlete who loves to hunt and swim they are known to be happy eager and charming though aloof with strangers and a bit stubborn,eager happy charming,166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
Anatolian Shepherd Dog,the anatolian shepherd dog stands between 27 and 29 inches at the shoulder and can weigh as much as 150 pounds profusely muscled but nimble afoot anatolians are more than a match for the predators and harsh terrain of their homeland anatolians descend from some of the oldest known domesticcanine bloodlines this lends the breed a sense of timelessness a nofrills untouched quality that takes us back 6000 years to the bronze ageanatolians are smart devoted responsive and adaptable they will protect their flocklivestock children smaller dogs even the family catwith intensity anatolian owners must be strong leaders willing and able to handle a dog as dominating and demanding as he is calm and loving an anatolian shepherd dog is a rugged imposing flock guardian of ancient lineage protective and territorial but also intelligent patient and profoundly loyal these muscular avengers are prized as working guard dogs without equal,loyal independent reserved,90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Appenzeller Sennenhund,the appenzeller sennenhund is also known as the appenzeller mountain dog or appenzell cattle dog he is lively highspirited selfassured reliable and fearless slightly suspicious of strangers he is a good watchdog who cannot be bribed the breeds intelligence make them highly capable learners due to his personality and exercise needs he is illsuited to apartment living the appenzeller sennenhund is tricolor mediumsized and almost squarely built and balanced he is muscular and agile and makes a good driving watch guard house or farm dog due to their versatility and willingness they excel in agility obedience herding and search and rescue,agile versatile lively,,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Australian Cattle Dog,standing between 17 to 20 inches at the shoulder the australian cattle dog is a sturdy hardmuscled herder of strength and agility the acd is born with a white coat that turns bluegray or red both coat varieties feature distinctive mottling or specking patterns acds have immense work drive and excel at hunting chasing and of course moving livestock their boundless energy and supple gait make them excellent running partnersacds are trueblue loyal famously smart ever alert and wary of strangers if an acd isnt challenged he easily becomes bored and gets into mischief it is recommended that acd owners participate with their dog in some work sport or regular exercise to keep him mentally and physically fit the compact but muscular australian cattle dog also called blue heeler or queensland heeler is related to australias famous wild dog the dingo these resilient herders are intelligent enough to routinely outsmart their owners,alert curious pleasant,55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,Herding Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Australian Kelpie,as a herding dog the australian kelpie is intensely loyal and devoted to duty he has a natural instinct and aptitude for working in sheep whether it be in open fields or enclosed yards this breed originated from collie type dogs imported from scotland but was developed to withstand the harsh heat and dry conditions of the vast open spaces of australia the australian kelpie is a lithe active dog capable of untiring work he is extremely intelligent alert and eager with unlimited energy,loyal alert intelligent,,43.18,50.8,15.875732950000002,24.947580350000003,10.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
Australian Shepherd,the australian shepherd the cowboys herding dog of choice is a mediumsized worker with a keen penetrating gaze in the eye aussie coats offer different looks including merle a mottled pattern with contrasting shades of blue or red in all ways theyre the picture of rugged and agile movers of stock aussies exhibit an irresistible impulse to herd anything birds dogs kids this strong work drive can make aussies too much dog for a sedentary pet owner aussies are remarkably intelligent quite capable of hoodwinking an unsuspecting novice owner in short this isnt the pet for everyone but if youre looking for a brainy tireless and trainable partner for work or sport your search might end here the australian shepherd a lean tough ranch dog is one of those only in america stories a european breed perfected in california by way of australia fixtures on the rodeo circuit they are closely associated with the cowboy life,smart workoriented exuberant,17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
Australian Stumpy Tail Cattle Dog,the australian stumpy tail cattle dog is not an australian cattle dog with a docked tail there are major structural differences in breed type between the two breeds of cattle dogs stumpy tail cattle dogs are a natural bobtail breed some stumpy tail pups are born with long tails and should not be discarded from a breeding program if they are of structural quality but rather bred back to quality natural bob tails australian stumpy tail cattle dog society of the united statesdenyse adams chredacds8gmailcomlori graham lgraham1145yahoocomkim mcdonald breezyacresstumpiesgmailcomkevin nicholson nicholsonklnicholsongmailcom the australian stumpy tail cattle dog is not an australian cattle dog with a docked tail he is a naturally bobtailed breed and stands square with plenty of leg length under the body,alert trainable comical,,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
Australian Terrier,australian terriers are small but sturdy selfconfident terriers known for a longish torso distinctive coat furnishings around the neck and forequarters and a topknot of soft silky hair that contrasts in texture with an otherwise harsh coat a long neck lends a dash of elegance to this roughandready terrier and the dark eyes sparkle with a keen intelligence coat colors are blueandtan or solid red or sandy aussies move with the free and easy gait of a working dog they are alert watchdogs and said to be quick studies when training true terriers aussies love digging and the urge to chase small furry critters has never left them not always a great fit in multidog households aussies want you all to themselves the diminutive australian terrier is plucky spirited and smarthow did they fit so much dog into such a bitty package upbeat and lively the selfassured aussie approaches life with plenty of the oldtime terrier curiosity and grit,affectionate courageous spirited,140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly
Azawakh,this ancient hunting hound is so lean and rangy that his bone structure and musculature can plainly be seen beneath his skin the smooth sshaped contours deep chest and aerodynamic head mark the azwakh as a member of the sighthound family canine sprinters that rely on keen vision and blazing speed to fix and course their prey the ultrafine coat comes in several colors and patterns the overall look of this leggy hound is one of elegance and fineness but dont be fooled this is a tough durable hunter whos been chasing gazelle across the scorching sands of the sahara for more than a thousand years tall and elegant the azawakh is a west african sighthound who originates from the countries of burkina faso mali and niger the azawakh has a short fine coat which may come in any color or color combinations red clear sand to fawn brindled particolor which may be predominantly white blue black and brown the head may have a black mask and there may be white markings on the legs bib and at the tip of tail there are no color or marking disqualifications in the breed befitting its heritage the azawakh excels as a companion guardian and a lure courser in the united states,loyal independent deeply affectionate,of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
Barbet,the defining characteristic of this rustic mediumsized bird dog is the dense curly coat that covers him from the top of his large broad head to the tip of his curving tail the coat comes in shades of black gray brown or fawn sometimes with white markings the breeds delightfully shaggy coat and amiable nature creates the impression of a muppet come to life but the barbet is a strong solidlybuilt dog bred for centuries to be a keen hunter and tireless swimmer barbets are very intelligent and learn new things quickly they have a calm nature and are easy to live with as long as their exercise needs are being met an archetypic water dog of france the barbet is a rustic breed of medium size and balanced proportions who appears in artwork as early as the 16th century in profile the barbet is slightly rectangular with a substantial head and long sweeping tail he has a long dense covering of curly hair and a distinctive beard an agile athlete the barbet has been used primarily to locate flush and retrieve birds he has a cheerful disposition and is very social and loyal,friendly bright sweetnatured,of,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Basenji,basenjis are small graceful hounds standing 16 or 17 inches at the shoulder they are recognizable by their glistening short coat tightly curled tail and wrinkled forehead and expressive almondshaped eyes that convey a variety of subtle humanlike emotionsbasenjis are a lovely sight at a standstill but more impressive yet at a fast trot when they exhibit the long smooth strides of a miniracehorse and yes its true they dont bark but they make their feelings known with an odd sound described as something between a chortle and a yodel basenjis are fastidious and will groom themselves like cats this has been called a cult breedsmall in numbers but those lucky enough to own one do so with singular devotion the basenji africas barkless dog is a compact sweetfaced hunter of intelligence and poise they are unique and beguiling pets best for owners who can meet their exercise needs and the challenge of training this catlike canine,independent smart poised,87,40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Basset Fauve de Bretagne,the basset fauve de bretagne also known as the fawn colored brittany basset is a small stocky roughcoated hardy dog that is energetic and fast for its size the fauve gets along well with children and other pets training and socialization is a must or fauves can get into mischief not nuisance barkers you will however know if a rabbit runs through the yard as they then give the hound voice and chase this breed is as happy romping in the field as he is curled up next to the family on the sofa smart courageous and determined the basset fauve de bretagne is a serious hunter easily adaptable to different types of game and terrain it is equally an excellent companion dog being cheerful intelligent and eager to please,smart cheerful determined,,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,1.0,Outgoing
Basset Hound,the basset hound stands no higher than 14 inches at the shoulder but with his remarkably heavy bone powerful little legs and massive paws he possesses bigdog strength and stamina bassets are famous for a large domed head that features extremely long velvety ears mournful eyes and a wrinkled brow which give the breed the look of a sad clown built more for endurance than speed the basset moves in a deliberate but effortless manner the breeds scenting ability is uncanny its said that among dogs only the bloodhounds nose is more accurate mild and agreeable at home the basset is stubborn on the trail and barks in a loud ringing voice although they may not be wildly demonstrative in their affections they are steadfastly loyal among the most appealing of the akc breeds the endearing and instantly recognizable basset hound is a perennial favorite of dog lovers all over the world this lowslung and lowkey hound can be sometimes stubborn but is always charming,charming patient lowkey,39,38.1,38.1,18.1436948,29.48350405,12.0,13.0,Hound Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.2,Couch Potato,0.4,Independent,0.8,Friendly
Bavarian Mountain Scent Hound,hailing from germany the bavarian mountain scent hound is the bayerischer gebirgsschweisshund in its native german the breeds most notable trait is its outstanding cold nose tracking ability his nose is so acute he can distinguish between the injured game he is hunting and other animals of the same species this somewhat lightweight active mediumsized breed is devoted to his owner but can be reserved with strangers he is not a kennel dog and prefers to be around his human family the bavarian mountain scent hound is calm and balanced devoted to its owner and reserved with strangers he is a sound selfassured unafraid biddable dog neither shy nor aggressive,loyal versatile reserved with strangers,,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Beagle,there are two beagle varieties those standing under 13 inches at the shoulder and those between 13 and 15 inches both varieties are sturdy solid and big for their inches as dog folks say they come in such pleasing colors as lemon red and white and tricolor the beagles fortune is in his adorable face with its big brown or hazel eyes set off by long houndy ears set low on a broad heada breed described as merry by its fanciers beagles are loving and lovable happy and companionableall qualities that make them excellent family dogs no wonder that for years the beagle has been the most popular hound dog among american pet owners these are curious clever and energetic hounds who require plenty of playtime not only is the beagle an excellent hunting dog and loyal companion it is also happygolucky funny andthanks to its pleading expressioncute they were bred to hunt in packs so they enjoy company and are generally easygoing,friendly curious merry,6,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,Hound Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly
Bearded Collie,standing 20 to 22 inches at the shoulder and covered head to tail in a shaggy double coat beardies bear a passing resemblance to another british favorite the old english sheepdog beneath the coats beardies are the more lean and angular of the two the lavish facial hair shouldnt obscure the characteristic expression a dreamy faraway gazethese rambunctious comics can be a handfulbut mostly beardies are approximately 50 pounds of heart energy and laughter wellsocialized beardies will get on nicely with other animals and kids they bore easily and training must be kept interesting outdoorsy families looking for a sturdy dog to share an uptempo lifestyle will never find a more affectionate and amusing sidekick a boisterous and charismatic droving dog from scotland the shaggycoated bearded collie beardie to his friends enjoys outdoor exercise in all weather bred to be independent decisionmakers they can be willful but are always friendly,smart bouncy charismatic,127,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,1.0,Outgoing
Beauceron,beaucerons are muscular rugged and large standing as high as 275 inches at the shoulder and yet graceful and in all ways balanced their dark black coats feature handsome squirrelred accents including the red feet that give the breed its french nickname basrouge red stockings theyre also seen in a blackgraytan coat the long head is well chiseled and the dark brown eyes project an expression breed fanciers describe as frank and confident theyre not for novice owners who might end up being owned by their dominant dog instead of the other way around that said welltrained and socialized beaucerons are levelheaded watchdogs and guardians especially good with the young the small and the defenseless the beauceron is imposing and powerful but also remarkably smart spirited and a versatile herderimagine a border collies brain in a 100pound body they are especially beloved by women as a dashing but sensitive companion and protector,gentle faithful obedient,124,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers
Bedlington Terrier,bedlingtons are lithe energetic englishmen the crisp curly coat arched back tasseled ears scimitarshaped tail and fleecy pearshaped head are identifying features of this oneofakind breed as the curvy contours indicate theres sighthoundwhippet most likelyin their family tree bedlingtons move with a light springy step and when roused to pursuit can run like the windrollicking charming and full of fun bedlingtons want most to be their familys center of attention and are known to be protective of loved ones for an active family looking for a noshedding lively and loyal companion the search might end here graceful terriers in sheeps clothing bedlington terriers named for the english mining shire where they were first bred are genial housemates alert watchdogs versatile athletes and irresistibly cuddly tvtime companions,loyal charming frollicking,141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.6,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Belgian Laekenois,of the four closelyrelated belgian herdersthe belgian sheepdog malinois tervuren and laekenoisthe laekenois is the rarest this strong and sturdy dog is distinguished from his brethren by a rough tousled coat that comes in shades of red or fawn or in grayish tones the blackening around the muzzle points up the expression of keen watchfulness shining from the dark almondshaped eyesthe belgian laekenois is protective of his master and property although observant with strangers the breed is affectionate and friendly with those he knows well the laekenois coat requires regular brushing and occasional bathing and as a working dog it needs daily exercise strong agile and full of life the belgian laekenois pronounced lakinwah is one of four native dogs of belgium although similar in body and temperament to the malinois shepherd and tervuren the laekenois differs in coat color texture and length as well as region of origin,affectionate alert intelligent,,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,Miscellaneous Class,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
Belgian Malinois,belgian malinois are squarely built proud and alert herders standing 22 to 26 inches strong and wellmuscled but more elegant than bulky theres an honest nofrills look about them as befit dogs built to work hard for their feed a breed hallmark is the proud carriage of the head coat colors range from a rich fawn to mahogany the black ears and mask accentuate bright questioning eyes the color of dark belgian chocolateif you have ever seen a mal perform an obedience routine you know firsthand what a smart and eager breed this is problems set in though when this peopleoriented dog is underemployed and neglected exercise and plenty of it preferably side by side with their adored owner is key to mal happiness the smart confident and versatile belgian malinois is a worldclass worker who forges an unbreakable bond with his human partner to deny a mal activity and the pleasure of your company is to deprive him of his very reasons for being,confident smart hardworking,43,55.88,66.04,18.1436948,36.2873896,14.0,16.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
Belgian Sheepdog,the stirring silhouette of a belgian sheepdog conveys both elegance and muscular determination a handsome feature of the breed is the exceedingly proud carriage of the head and neck a male might stand 26 inches at the shoulder females are smaller the dark eyes sparkle with a questioning intelligence and the black coat is abundant from the necks collarette to the breeches of the hindquarters in all ways belgian sheepdogs are brighteyed and bushytailedin any sport or activity a belgian will always give 100 percent in turn owners tend to form a special bond with their eager workaholics as one devotee puts it belgians inspire such intense loyalty because they themselves live and love with such great passion the belgian sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend this is a breed built for hard work and plenty of it these sensitive souls crave human companionship and abhor neglect,bright watchful seriousminded,125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
